title,PublishedAt,ID,URL,views,likes,dislikes,comments,Last_updated_Date
NVIDIA AI Conference 2018 키노트 영상,2018-11-09 10:21,Y3Zy642RnVQ,https://www.youtube.com/watch?v=Y3Zy642RnVQ,581,4,,0,2022-02-14
"NVIDIA, 실시간 Ray Tracing을 지원하는 Turing 출시",2018-11-05 10:26,_LOJyeoVGDw,https://www.youtube.com/watch?v=_LOJyeoVGDw,135,2,,0,2022-02-14
NVIDIA Turing이 Unreal Engine에 실시간 Ray Tracing을 지원하다,2018-11-05 10:10,RATye4bzAg8,https://www.youtube.com/watch?v=RATye4bzAg8,159,1,,0,2022-02-14
NVIDIA GPU CLOUD 컨테이너 구동하기,2018-10-19 16:45,4b43xOWKoqo,https://www.youtube.com/watch?v=4b43xOWKoqo,160,4,,1,2022-02-14
"그래픽의 재창조, GEFORCE RTX 20 시리즈",2018-10-08 12:33,lo4ePIOlUR0,https://www.youtube.com/watch?v=lo4ePIOlUR0,380,10,,2,2022-02-14
DGX Station 메이킹 영상,2018-07-27 10:27,r37Sv1spKMM,https://www.youtube.com/watch?v=r37Sv1spKMM,122,2,,1,2022-02-14
NVIDIA TensorRT 를 활용한 AI 가속화,2018-07-27 10:10,loi7_HP4RBI,https://www.youtube.com/watch?v=loi7_HP4RBI,330,5,,0,2022-02-14
셰도우 오브 더 툼 레이더(Shadow of the Tomb Raider) 트레일러 영상,2018-04-30 09:46,AiLZw-GhJvs,https://www.youtube.com/watch?v=AiLZw-GhJvs,135,5,,1,2022-02-14
GTC 2018- I AM AI (엔비디아 NVIDIA GTC 2018 오프닝 영상),2018-04-20 14:20,z2jAv3BN3B4,https://www.youtube.com/watch?v=z2jAv3BN3B4,1415,11,,1,2022-02-14
지포스 GTX 10 시리즈 노트북 (GeForce GTX 10 Series Laptop),2018-04-10 09:55,JJ_euglPBAQ,https://www.youtube.com/watch?v=JJ_euglPBAQ,98,0,,2,2022-02-14
Assetto Corsa Competizione,2018-02-27 11:35,wYZRnSvuBVE,https://www.youtube.com/watch?v=wYZRnSvuBVE,243,3,,1,2022-02-14
플레이어언노운즈:배틀그라운드(PUBG)를 가장 완벽한 해상도로 즐기는 방법,2018-02-13 14:42,lyMdB8Y4BTY,https://www.youtube.com/watch?v=lyMdB8Y4BTY,309,2,,2,2022-02-14
지포스 익스피리언스와 함께 배틀그라운드 중요한 순간을 자동 캡처하세요!,2018-01-18 14:29,HD636pMIzGQ,https://www.youtube.com/watch?v=HD636pMIzGQ,628,2,,0,2022-02-14
"역대 최고 성능의 PC용 GPU, NVIDIA TITAN V",2018-01-09 18:07,b-M2exMxGpU,https://www.youtube.com/watch?v=b-M2exMxGpU,587,6,,5,2022-02-14
포트나이트 배틀로얄에 적용되는 쉐도우플레이 하이라이트 기능,2018-01-09 18:05,LfZzn6Xf_dU,https://www.youtube.com/watch?v=LfZzn6Xf_dU,217,0,,0,2022-02-14
빅 포맷 게이밍 디스플레이(Big format gaming display) 공개,2018-01-09 18:03,lJkMQVyvFYY,https://www.youtube.com/watch?v=lJkMQVyvFYY,66,1,,0,2022-02-14
"스타워즈 컬렉터스 에디션, NVIDIA TITAN Xp 국내 출시!",2018-01-02 13:50,z6eYVjdV3Hc,https://www.youtube.com/watch?v=z6eYVjdV3Hc,210,1,,2,2022-02-14
NVIDIA Volta GPU Architecture,2017-12-19 18:41,-8BwJRxgWWg,https://www.youtube.com/watch?v=-8BwJRxgWWg,1348,10,,1,2022-02-14
NVIDIA GPU Cloud 무료 계정 등록하는 방법,2017-12-06 16:18,2Lsp_BW2oTk,https://www.youtube.com/watch?v=2Lsp_BW2oTk,1464,15,,0,2022-02-14
지스타 2017 엔비디아 부스의 모든 것(NVIDIA AT G-STAR 2017 Highlight),2017-11-21 13:36,DBp5ypMqifU,https://www.youtube.com/watch?v=DBp5ypMqifU,339,4,,3,2022-02-14
지스타 2017 엔비디아 부스 Day 3 하이라이트 (NVIDIA AT G-STAR 2017 DAY 3 HIGHLIGHT),2017-11-19 09:49,MTaHqp6O4ww,https://www.youtube.com/watch?v=MTaHqp6O4ww,158,0,,0,2022-02-14
지스타 2017 엔비디아 부스 DAY 하이라이트 영상(NVIDIA AT G-STAR 2017 DAY 2 HIGHLIGHT),2017-11-18 09:20,TOTiGkJP-YI,https://www.youtube.com/watch?v=TOTiGkJP-YI,476,4,,1,2022-02-14
지스타 2017 엔비디아 부스 DAY 1 하이라이트 영상(NVIDIA at G-STAR 2017 DAY1 RECAP),2017-11-17 08:42,nECc1QT0eQY,https://www.youtube.com/watch?v=nECc1QT0eQY,346,1,,2,2022-02-14
파라곤(Paragon)에서 엔비디아 안셀(NVIDIA Ansel)을 즐기세요.,2017-11-15 18:19,7YzYxB9vMLI,https://www.youtube.com/watch?v=7YzYxB9vMLI,1315,10,,4,2022-02-14
"NVIDIA Ansel, 검은사막",2017-11-13 10:59,vNt5uZMGypk,https://www.youtube.com/watch?v=vNt5uZMGypk,7279,36,,6,2022-02-14
NVIDIA DEEP LEARNING DAY 2017 컨퍼런스 현장스케치,2017-11-01 18:15,Tdqlqx0Nkl4,https://www.youtube.com/watch?v=Tdqlqx0Nkl4,317,1,,1,2022-02-14
게임스컴 2017에서 소개된 파이널 판타지 XV  기술 트레일러,2017-08-31 16:21,GLH8gmMGRQk,https://www.youtube.com/watch?v=GLH8gmMGRQk,131,1,,0,2022-02-14
X-Morph: Defense에서 즐기는 PhysX 효과,2017-08-31 10:52,G6sqAwF8PnU,https://www.youtube.com/watch?v=G6sqAwF8PnU,157,2,,0,2022-02-14
GeForce GTX 10 시리즈 게이밍 노트북,2017-08-18 10:12,RqLYEaBH0H8,https://www.youtube.com/watch?v=RqLYEaBH0H8,194,4,,0,2022-02-14
[AI 스타트업] Deep Instinct - 사이버 보안 위협에 딥 러닝 적용,2017-07-24 11:56,Zmb_r981Vj8,https://www.youtube.com/watch?v=Zmb_r981Vj8,393,2,,0,2022-02-14
[AI 스타트업] Genetesis - GPU 기반 심장의 3D 맵 형성,2017-07-24 11:56,EhJUoLBeaa0,https://www.youtube.com/watch?v=EhJUoLBeaa0,192,2,,0,2022-02-14
[AI 스타트업]  Athelas - 딥 러닝으로 단 시간 내에 혈액세포 분석,2017-07-24 11:48,o8Xlsns_r_M,https://www.youtube.com/watch?v=o8Xlsns_r_M,570,5,,0,2022-02-14
GTC 2017 -  I AM AI  (엔비디아 GTC 2017 오프닝 영상),2017-05-22 14:56,W-XqrjGb8ys,https://www.youtube.com/watch?v=W-XqrjGb8ys,1014,12,,2,2022-02-14
Destiny 2 (데스티니 2) 공식 트레일러 영상,2017-05-19 10:13,kV6Iioyk-2Y,https://www.youtube.com/watch?v=kV6Iioyk-2Y,574,2,,0,2022-02-14
최초의 인공지능 게임 비서 GeForce GTX G-Assist,2017-04-01 15:13,pO1RC2TbuJE,https://www.youtube.com/watch?v=pO1RC2TbuJE,1951,15,,3,2022-02-14
GeForce GTX 1080 Ti 출시 기념 특별 이벤트!,2017-03-02 18:08,zbRKjxJbn3I,https://www.youtube.com/watch?v=zbRKjxJbn3I,1040,12,,6,2022-02-14
